"date","cases","deaths","cum_cases","cum_deaths","cases_daily","cases_active","cases_active_undected","cases_infect","cases_symptom","p_cases","p_cases_low","p_cases_high","p_cases_daily","p_cases_active","p_cases_active_undetected","p_infect","p_symptom","population"
"2020/05/25",10,0,2376,30,11.9312292598979,655.676966242925,136.676966242925,655.676966242925,1086.96430446307,0.000110234834424229,0.000103179053526516,0.000117773116782994,5.53550960413452e-07,2.54962996303052e-05,5.31474653419446e-06,2.54962996303052e-05,4.22671056341015e-05,25716554
"2020/05/26",47,0,2423,30,54.7277950774738,637.527532733396,126.527532733396,637.527532733396,1067.69396197709,0.000109711141680163,0.000102686218163257,0.000117216651115033,2.47802264943774e-06,2.47905505820646e-05,4.92008115602875e-06,2.47905505820646e-05,4.15177695260838e-05,25716554
"2020/05/27",54,0,2477,30,61.4216463831904,623.300406395082,117.300406395082,623.300406395082,1088.81354353574,0.000109557200718061,0.000102539655640051,0.000117055008174705,2.71666679097173e-06,2.42373222475718e-05,4.56128011533278e-06,2.42373222475718e-05,4.23390141437979e-05,25716554
"2020/05/28",79,1,2556,31,90.7630438374125,657.026228399503,118.026228399503,657.026228399503,1093.78933306356,0.000114190516462333,0.00010709920003935,0.0001217513673785,4.05488217976819e-06,2.55487663082504e-05,4.58950403695233e-06,2.55487663082504e-05,4.2532500002277e-05,25716554
"2020/05/29",85,1,2641,32,98.5571032884274,700.624369746522,120.624369746522,700.624369746522,1150.21345006665,0.000119076108483978,0.000111899747884992,0.000126712703823614,4.44369417759917e-06,2.72441000355849e-05,4.69053395515285e-06,2.72441000355849e-05,4.47265776770344e-05,25716554
"2020/05/30",109,0,2750,32,123.515974682592,761.482442592517,120.482442592517,761.482442592517,1236.66120002601,0.000121175983339612,0.000113870560604613,0.000128950089121868,5.44260716011409e-06,2.96105941174124e-05,4.68501505265897e-06,2.96105941174124e-05,4.80881380929191e-05,25716554
"2020/05/31",49,1,2799,33,55.9093589556591,804.280081442052,124.280081442052,804.280081442052,1140.57188846768,0.000124187692660001,0.000116914833776002,0.000131912970408555,2.48061960943304e-06,3.12747999378942e-05,4.83268798152551e-06,3.12747999378942e-05,4.43516611311018e-05,25716554
"2020/06/01",34,0,2833,33,37.8438771440609,798.886079400654,118.886079400654,798.886079400654,1105.53853702474,0.0001226169497775,0.000115433465817936,0.000130247465639222,1.63794591710526e-06,3.10650516939655e-05,4.62293973759681e-06,3.10650516939655e-05,4.29893731883649e-05,25716554
"2020/06/02",118,0,2951,33,128.111678042611,827.172408528295,107.172408528295,827.172408528295,1158.00144234584,0.000124584251966732,0.00011728284225678,0.000132340208844256,5.40857254393137e-06,3.21649785787122e-05,4.16744827196891e-06,3.21649785787122e-05,4.50294173296253e-05,25716554
"2020/06/03",73,0,3024,33,77.3120373378055,904.484445866101,111.484445866101,904.484445866101,1178.27625785066,0.000124535529526758,0.000117234434630916,0.000132291320065957,3.18389401741274e-06,3.5171292618214e-05,4.33512382203699e-06,3.5171292618214e-05,4.58178128317915e-05,25716554
"2020/06/04",0,0,3024,33,0,819.597661668634,96.5976616686338,819.597661668634,1123.31729590925,0.000121435933551581,0.000114314072436935,0.000129001492494981,0,3.18704310720882e-05,3.75624438906682e-06,3.18704310720882e-05,4.36807083837613e-05,25716554
"2020/06/05",238,2,3262,35,254.255811877404,994.349555886535,98.3495558865348,994.349555886535,1314.91520595006,0.000135508056217145,0.000127991929521922,0.00014346555574509,1.05621431175411e-05,3.86657386478194e-05,3.82436759942778e-06,3.86657386478194e-05,5.11310810130338e-05,25716554
"2020/06/06",169,1,3431,36,181.097308949903,1163.51563557654,108.51563557654,1163.51563557654,1482.90079479384,0.000142966155037567,0.000135243822916416,0.000151129427174338,7.54613405660679e-06,4.52438392630887e-05,4.21968027195788e-06,4.52438392630887e-05,5.76632777001863e-05,25716554
"2020/06/07",126,0,3557,36,131.403980679951,1240.19182117902,106.191821179017,1240.19182117902,1571.06689628833,0.000144247757003902,0.000136453255372396,0.00015248749723025,5.32885281823646e-06,4.82254279161593e-05,4.1293176830386e-06,4.82254279161593e-05,6.10916570038244e-05,25716554
"2020/06/08",182,0,3739,36,184.311864874028,1363.08203966986,101.082039669855,1363.08203966986,1655.55341224739,0.000147239589345898,0.000139280244529218,0.000155653780936612,7.25809127992206e-06,5.30040704392142e-05,3.93062148489471e-06,5.30040704392142e-05,6.43769539358729e-05,25716554
"2020/06/09",142,2,3881,38,147.117836613318,1419.43683244576,94.4368324457609,1419.43683244576,1802.67124886071,0.000156353589224917,0.000148322505716921,0.000164819524490579,5.92692651210957e-06,5.51954524095943e-05,3.67221955343476e-06,5.51954524095943e-05,7.00976985042672e-05,25716554
"2020/06/10",114,0,3995,38,114.276278746684,1435.15600790402,81.1560079040179,1435.15600790402,1832.06074340992,0.00015572389184114,0.000147721623420208,0.000164159653330982,4.45445478637213e-06,5.58066997586075e-05,3.15578859842644e-06,5.58066997586075e-05,7.12405224825194e-05,25716554
"2020/06/11",186,3,4181,41,194.454154329044,1506.09418755047,75.0941875504694,1506.09418755047,1947.01098007946,0.00016996976588049,0.00016184124038612,0.000178506549038697,7.90512487103473e-06,5.85651634177141e-05,2.92007193306185e-06,5.85651634177141e-05,7.57104151699121e-05,25716554
"2020/06/12",223,0,4404,41,225.225505861702,1675.41033445651,70.4103344565127,1675.41033445651,2160.30525668127,0.000172960624732493,0.000164685205766721,0.00018165188286694,8.84540059026608e-06,6.51490994655237e-05,2.73793815674187e-06,6.51490994655237e-05,8.40044609663203e-05,25716554
"2020/06/13",280,4,4684,45,299.562776214883,1937.12923352733,86.1292335273346,1937.12923352733,2405.14023781868,0.000194865039042627,0.00018632737496541,0.000203793905474887,1.24624919049596e-05,7.53261589218888e-05,3.34917475830294e-06,7.53261589218888e-05,9.35249815281891e-05,25716554
"2020/06/14",164,0,4848,45,169.060793214536,1978.07834869926,81.0783486992603,1978.07834869926,2512.77938465002,0.000194334045874923,0.000185815301951109,0.000203243333512185,6.77687045053725e-06,7.69184840511392e-05,3.15276878462255e-06,7.69184840511392e-05,9.77105791331927e-05,25716554
"2020/06/15",236,0,5084,45,236,2136.76631136145,76.7663113614548,2136.76631136145,2658.01634081261,0.000196037643945419,0.000187439806101854,0.000205029863415394,9.1769682672103e-06,8.30891382788477e-05,2.98509323455447e-06,8.30891382788477e-05,0.000103358184802389,25716554
"2020/06/16",355,1,5439,46,355,2491.76631136145,76.7663113614548,2491.76631136145,2914.45923752418,0.000206024686632804,0.000197170842741223,0.00021527610731904,1.38043378595748e-05,9.68934761384225e-05,2.98509323455447e-06,9.68934761384225e-05,0.000113330084486599,25716554
"2020/06/17",240,0,5679,46,240,2477.51049948405,60.5104994840507,2477.51049948405,3030.94326284159,0.000206449333637928,0.000197572670964456,0.000215724812300645,9.33251010224776e-06,9.63391323535825e-05,2.35297853219567e-06,9.63391323535825e-05,0.000117859619249204,25716554
"2020/06/18",384,2,6063,48,384,2680.41319053415,48.413190534148,2680.41319053415,3359.03390388593,0.000220367391662599,0.000211262202718737,0.000229865005113243,1.49320161635964e-05,0.000104229096578575,1.88256912392492e-06,0.000104229096578575,0.000130617574340867,25716554
"2020/06/19",0,0,6063,48,0,2549.0092098542,43.0092098541968,2549.0092098542,3321.19002674187,0.000210834145317721,0.000202118227825374,0.000219925918162407,0,9.91193925070286e-05,1.67243285605827e-06,9.91193925070286e-05,0.000129145997816888,25716554
"2020/06/20",381,1,6444,49,381,2745.69734498017,40.6973449801683,2745.69734498017,3574.07834869926,0.00021876776873731,0.000209894114034293,0.000228016573301725,1.48153597873183e-05,0.000106767700873926,1.58253492984201e-06,0.000106767700873926,0.000138979676231087,25716554
"2020/06/21",430,0,6874,49,430,3028.57950836685,35.57950836685,3028.57950836685,3926.76631136145,0.000223384075920522,0.000214318750476188,0.000232832849501003,1.67207472665272e-05,0.000117767703572059,1.38352550527765e-06,0.000117767703572059,0.000152694109458112,25716554
